"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_RN","tsm_coef_RN","tsm_med_chuv_RN","tsm_med_seco_RN","tsm_amp_chuv_RN","tsm_amp_seco_RN","prec_med_RN","prec_coef_RN","prec_med_chuv_RN","prec_med_seco_RN","prec_amp_chuv_RN","prec_amp_seco_RN","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1963.31893216922,0.121824258377695,177.626361277826,0,0,0,27.1155293252733,2.86422043538197,27.4501354580834,26.4588785171509,2.2378807067871,0.925136566162099,78.9789147681654,125.96407097836,187.332624493721,21.1433124431824,308.148,71.9632653061225,18.4858639602674,24.8364379670432,58.5093358020822
1947,1959.96019448862,0.146053512765744,154.622225895926,0,0,0,27.2575006484985,2.59534345379504,27.5623363313221,26.6843852996826,2.236852645874,1.0213184356689,63.5979834533283,79.6624542120288,162.18958958959,11.3799904684096,242.066666666667,60.45,16.5667351333768,26.826188591037,50.4402039062269
1948,1956.4492042966,0.172069770960413,131.618090514025,0,0,0,27.2151859601339,2.6682973900673,27.559843426659,26.5924544334412,2.0329036712646,0.545494079589897,71.6739784991509,123.938246798418,177.983664998462,24.6321398999965,234.280222222222,69.7438775510204,14.8819816386794,19.4703555741467,41.7600194083665
1949,1956.97206382685,0.199739918575767,134.981619447149,0,0,0,27.2194661034478,2.33950592875533,27.5134477161226,26.6718384424845,1.7627544403076,0.717607498168999,76.8743410675304,121.295322484768,169.321274895408,17.4568052981153,283.256777777778,66.0450680272109,15.111159128731,21.8790888691723,42.9589032592458
1950,1957.98350379729,0.228922641255935,141.548509268962,0,0,0,26.9212736023797,3.08132366119803,27.2655788603283,26.1900768280029,2.3063907623291,0.930578231811502,81.3808398332778,114.410102355579,179.857811112948,22.5432207242367,284.04212962963,70.7898242630386,15.624123454213,22.9517318865814,45.3441292326339
1951,1956.99688071074,0.259469154228751,135.141787491583,0,0,0,26.9605160289341,2.25493181075673,27.2187374659947,26.5831731160482,1.9356899261475,0.977025985717798,78.7091976200781,128.795661654935,170.291291251432,18.8420303465834,339.960929012346,69.9705876795163,15.1420981810758,21.6969946106555,42.954694067667
1952,1955.05803877352,0.291223967947714,122.768806059021,0,0,0,27.2549087736342,3.13698693520311,27.6413166409447,26.494490146637,2.1930599212646,0.921012878417901,79.3564889015628,116.272022986789,182.547012193127,17.3417742757066,324.384636316872,69.6109426177879,14.2427851643414,21.8459883292689,38.7642690897745
1953,1957.07748460963,0.324025685852127,135.662333635995,0,0,0,27.1399761305915,2.25485008162873,27.4427484784807,26.5350891749064,1.5402736663819,0.479976654052798,69.6163524032356,120.271311150676,207.555405966309,19.8404145976483,286.178574074074,73.0994945200302,15.1955469803891,21.6997871782351,43.2068298589307
1954,1954.48504487015,0.357707830125175,119.165025059245,0,0,0,27.050209151374,2.84653579590021,27.3747039976574,26.4262771606445,2.1554164886474,0.987556457519599,81.4873479784938,121.389612670056,168.22518885417,22.8414136801994,283.633723851166,71.7109426177879,13.9963417048111,19.8644175072052,37.5016849217894
1955,1954.19073837001,0.392099691203085,117.323092548249,0,0,0,27.1734747356839,2.66129082027024,27.4590092613583,26.6867826779683,2.1913757324218,1.172737121582,76.9093851727935,101.289326699931,182.761681995397,26.6959853139187,252.636939386145,70.6296217561099,13.8624782703766,17.6216495836881,37.0291733221369
1956,1957.40107102935,0.427027196681726,137.757169405191,0,0,0,27.1768767038981,2.34654627478646,27.520728065854,26.5962692896525,1.6619834899902,0.901435852050799,55.3046885665276,122.378415417549,191.751104065157,29.9675040460717,283.397504472451,69.8171868438734,15.3353585060495,18.3769151888394,43.9285875201357
1957,1962.84225119083,0.462313795184892,174.297014339618,0,0,0,27.0897502369351,2.52705831186877,27.360836210705,26.5940621693929,1.9544162750244,1.1921005249023,81.4810270197999,122.511318125519,177.309834410116,23.6405072718658,279.113435456676,72.8574659339044,18.2168734469564,23.0514972216607,57.2918861775609
1958,1964.97108488981,0.497781350696491,189.342832842028,0,0,0,27.0777968300713,3.05863894037917,27.4579142615909,26.3150893847148,2.232889175415,1.2855949401856,92.8548631142603,122.319150647667,194.71345829119,27.6824586778341,265.204953975194,72.8808584236164,19.4768159531457,24.2364025028811,63.0026470815066
1959,1968.80312287062,0.533251042822157,217.675867684231,0,0,0,27.1724496417575,2.86633648689608,27.5321414584205,26.4746154149373,2.1813983917237,0.832529067993203,73.4142616339915,123.976683897596,198.431151855008,20.8518384956277,275.975267675469,69.6302708840738,21.9367553341422,28.0128097681043,73.9329979274572
1960,1959.24766582211,0.568544268430181,149.871984303236,0,0,0,27.2057038942973,2.615695655782,27.5165142785935,26.6375602086385,2.0661487579345,1.1250267028809,72.9171486780923,120.031686389056,189.633904711395,16.0317642114432,290.444232884183,68.1044330540858,16.2437455609446,23.8415761622915,48.2876338283496
1961,1974.75662204555,0.603483540130634,265.578638677904,0,0,0,27.1991915173001,3.02292905049009,27.5061017899286,26.574808438619,2.4247512817383,1.1962776184082,86.1416666666667,113.671937274374,193.455555555556,21.7533333333333,212.5,74.6,26.4903281294559,30.8575793157131,92.8352238480812
1962,1966.71150693936,0.637893377081368,202,0,0,0,27.3588454988268,3.06569738729224,27.6999819619315,26.7177772521973,2.5559310913086,0.893896102905302,47.89375,140.692253989144,147.8,8.8,109.4,38.6,20.2622601497699,31.1916269263505,67.6474546591972
1963,1965.06258300585,0.671601183664412,190,0,0,0,27.2937143643697,2.89712244275536,27.5599885668073,26.8110998471578,2.3509674072266,1.4252586364746,79.075,124.228591785481,186.609090909091,16.8184210526316,275.8,73,19.5337064643473,25.7643368371745,63.2317212650319
1964,1964.22258478214,0.704438111650862,184,0,0,0,27.4063582950168,3.79558676288254,27.9329748607817,26.3372319539388,2.5138759613037,0.931781768798803,116.345762711864,93.717095310752,201.525,15.3925925925926,251.7,74.9,19.0382174710269,28.9651704833429,61.3110915859908
1965,1979.71838018979,0.736239901570285,310.295581582189,0,0,0,27.0380667580499,2.90865364326707,27.4226603735061,26.3974393208822,2.1871070861816,0.962419509887699,85.6672413793103,141.95137910505,232.705555555556,19.5,394.6,76.5,30.9735420299792,35.4336647796454,109.504974425968
1966,1971.90870325051,0.766847699119495,242,0,0,0,27.3452331754896,2.66836311041384,27.6871995471773,26.7382615407308,2.2351131439209,1.16237449646,66.9433962264151,141.103004827227,186.366666666667,19.8026315789474,349.6,74.5,24.2273182012038,28.5368981603709,83.1919834614137
1967,1973.97811693288,0.796108842583746,259,0,0,0,27.1346745491028,3.59079903835228,27.5526622590565,26.2371667226156,2.6279220581055,0.7907619476319,84.5103448275862,134.896512257009,213.085,16.8394736842105,303,72.2,25.8252716343784,34.1379667365617,89.9192911451623
1968,1976.86097023167,0.823877617402935,283.916549142897,0,0,0,27.2069510883755,2.64242845756247,27.4602699279785,26.7463318506877,2.0478115081787,1.0569820404053,65.555,151.423391096268,194.79375,18.5590909090909,497.3,77,28.3259616153855,31.8147071112316,99.308124634965
1969,1965.47869805346,0.850015974192204,193,0,0,0,27.4865221447415,3.18741798469333,27.9639998844692,26.6388490994771,2.260669708252,0.8382968902588,68.485,120.265991292201,156.018181818182,17.8078947368421,268.8,69.2,19.7622771539097,26.5357885488909,64.4281865383358
1970,1963.22949611946,0.874394206722028,177,0,0,0,27.3731537395053,2.56411159559254,27.6234680357434,26.8360025087992,2.1220970153809,0.5068168640137,43.4474576271186,153.76422563485,157.208333333333,14.4021276595745,179.9,78,18.4731102864918,25.2789857556611,57.990384904498
1971,1965.86350428761,0.896891586574461,195.791040771633,0,0,0,27.2061884668138,2.77817679810921,27.5824069976807,26.5093245506287,2.3775520324707,0.428308486938398,128.691666666667,55.507862327295,164.725,56.625,179.4,47.4,19.8197071318685,17.7028714825706,66.4469303539923
1972,1986.80704826525,0.917396951420413,386,0,0,0,27.3087409337362,1.62608252377379,27.4523013886951,27.106983979543,1.2894859313965,1.2517452239991,93.6883794846709,135.264856810176,186.642146164021,23.7798586072209,365.779211279245,72.7918905808208,38.616702500112,33.9348364424083,136.573965933679
