"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_SE","tsm_coef_SE","tsm_med_chuv_SE","tsm_med_seco_SE","tsm_amp_chuv_SE","tsm_amp_seco_SE","prec_med_SE","prec_coef_SE","prec_med_chuv_SE","prec_med_seco_SE","prec_amp_chuv_SE","prec_amp_seco_SE","c.rosa.recon","c.branco.recon","c.7barbas.recon"
2000,2001.81244711159,0.58949179155989,1957,195.7,1581,376,27.404900709788,2.98140684991952,27.5138292312622,26.9237916469574,2.5180625915527,1.0109844207764,115.452777777778,70.1825720008178,148.379166666667,49.6,314.6,70.1,195.80838222811,529.107883245438,1774.07684913588
2001,2000.71758158715,0.554746955881304,1851.5,185.15,1497,354.5,27.3670937220256,3.38144996215524,27.5095639228821,26.8331208229065,2.812141418457,1.9085998535156,100.838888888889,75.5865522280743,154.073684210526,41.3411764705882,239.3,76.8,186.201865859769,528.560077896153,1414.5937800946
2002,1997.76774744865,0.519740900950844,1614.5,161.45,1261.5,353,27.2566963036855,2.95240625761729,27.3821517626445,26.7592868804932,2.4456672668457,1.2397689819336,85.9888888888889,88.5569514060088,158.32,34.3238095238095,197.9,57.8,161.31401609721,300.088509162073,1130.10526711242
2003,1998.18540861307,0.484646305307353,1645,164.5,1180.5,464.5,27.7089103857676,2.98686846864975,27.8165785471598,27.2390682697296,2.4459838867187,1.1112327575683,92.5361111111111,71.4416698444501,141.731578947368,37.5529411764706,173.2,71.4,164.703116427823,362.315903585815,1058.00470029902
2004,2001.91405810278,0.449636068176264,1967.5,196.75,1397,570.5,27.2906657059987,2.99162479221862,27.412492275238,26.7387230396271,2.5366115570069,1.1672687530518,94.9111111111111,103.666288700478,172.86875,32.545,340.2,75.2,196.965122190087,624.071337282528,2156.58310761645
2005,2000.29028655532,0.414882458019471,1813.5,181.35,1417,396.5,27.4839381376902,3.51005379190637,27.6609126726786,26.7991795539856,2.8395175933838,1.1747360229492,83.85,92.8141859776606,155.24375,26.735,224.8,71.9,182.686731292854,330.910149243839,1427.25383491652
2006,1990.88300182672,0.380556266097818,1195,119.5,948,247,27.3928640683492,3.35575891462617,27.5351694424947,26.9023876190185,2.5483455657959,1.7868137359619,109.491666666667,89.2095924636479,182.921052631579,27.4235294117647,272.1,77,109.984803652613,269.137850311204,1126.9890507992
2007,1998.1989121631,0.346825969195469,1646,164.6,1283,363,27.1636298497518,3.68733938754556,27.342781384786,26.4444813728332,2.7998466491699,1.4175968170166,100.161111111111,71.6278412927507,159.663157894737,33.6588235294118,147.8,77.7,164.864252535096,403.381037665408,1316.57411155087
2008,1989.88824832069,0.313856905595594,1143.34474424378,0,0,0,27.2377359072367,3.45984365828114,27.4872306187948,26.7300524711609,3.0609111785889,1.421007156372,92.0277777777778,87.5726622678612,153.55,30.5055555555556,282.2,74.5,103.331886093106,248.806019643083,1369.18170909804
2009,1990.83503729147,0.281810468319621,1192.47033572073,0,0,0,27.5526506106059,2.83068400333948,27.7612806955973,27.0247569084167,2.454662322998,1.1193962097168,100.533333333333,129.985577809559,211.707142857143,29.7863636363636,432.9,78.3,109.63738603727,303.95776861609,1824.87445004225
2010,1988.55774778253,0.250843319543787,1076.72617041049,0,0,0,27.670090119044,3.55734202536181,27.9798556963603,26.9039602279663,2.7311592102051,1.7419738769531,98.8277777777778,91.6461707201181,169.283333333333,28.3722222222222,271.9,76.1,94.8113328126172,278.127485456558,1072.2676415818
2011,1992.95837882811,0.221106629990628,1308.6630390401,0,0,0,27.3558783531189,3.53781071025904,27.6630061467488,26.5061137676239,2.7271499633789,1.2413330078125,99.5666666666667,77.8902863376082,144.84,42.975,252.1,75,124.305541825798,402.496220450623,1604.97493092195
