"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_MA","tsm_coef_MA","tsm_med_chuv_MA","tsm_med_seco_MA","tsm_amp_chuv_MA","tsm_amp_seco_MA","prec_med_MA","prec_coef_MA","prec_med_chuv_MA","prec_med_seco_MA","prec_amp_chuv_MA","prec_amp_seco_MA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1958,1977.4909813491,0.497781350696491,4917.82973293362,0,0,0,27.756334400177,2.31738516134023,28.3961742401123,27.0582041740417,0.866716384887699,1.1790752410889,142.087733579459,108.487109947592,255.345565446764,21.9735305181033,537.188020833333,69.7733762615128,339.459550172559,2668.50669771589,2038.82908916898
1959,1975.64158205039,0.533251042822157,4571.60100837023,0,0,0,27.6106948216756,2.39575502442563,28.1926983642578,26.9673612594605,0.9962348937988,0.990262985229499,152.390496530805,103.286501282199,255.054214208503,21.5055148389547,462.514891975309,67.6212169924554,261.507759106991,2554.94088662621,1796.5028934364
1960,1980.43812841103,0.568544268430181,5555.01341671989,0,0,0,27.5074235916138,1.76463568774574,27.8881224060059,26.9801259994507,1.1397953033448,0.958799362182599,167.249624029167,106.356828882346,282.33652699838,20.4790470552792,504.215586419753,54.4731444738389,831.209183482283,2654.2850167767,1814.11989249489
1961,1986.27825163151,0.603483540130634,8035.30349921406,0,0,0,27.6688033739726,1.88662277233672,28.1301578521728,27.1692355155945,1.2928924560547,0.984367370605501,176.765217391304,123.468192465942,373.42,25.4923076923077,694.8,73.6,1610.14805229334,3248.55775564893,2816.42495348087
1962,1964.28841000556,0.637893377081368,13919,0,0,0,27.8370236078898,2.27587969943433,28.3463555145264,27.2307733535767,1.2934818267822,1.4377040863037,141.540909090909,123.850230894861,313.522222222222,22.4769230769231,438.3,66.1,138.366346187547,3186.14641835317,3758.51679812406
1963,1977.67914836758,0.671601183664412,4955,0,0,0,27.6658838272095,2.32767021340077,28.2504154968262,27.0877849578857,1.3143863677978,1.5643444061279,179.588235294118,94.0672232809362,263.627272727273,25.5166666666667,447.1,69.1,321.049900716609,2690.60602972307,2170.86567482421
1964,1966.27115207234,0.704438111650862,3157,0,0,0,27.705726146698,2.84280681742364,28.4537243652344,26.8100930213928,0.994890213012702,1.1046237945556,42.5,102.129844758089,90,18.75,452.601736111111,71.47492835097,63.5819517544379,2088.56470954287,921.393734325965
1965,1984.26212155857,0.736239901570285,6705.78250346162,0,0,0,27.3459227561951,2.10361460316711,27.7056099700928,26.8879062652588,1.4591464996338,1.2100486755371,148.775814403771,95.6177764284478,222.232514656617,22.9878856008632,395.351440329218,69.7582439251421,1017.13448259819,3036.7467268466,2172.24479454514
1966,1985.94334086236,0.766847699119495,9187,0,0,0,27.7630245844523,2.26357039873456,28.1730693054199,27.1899803161621,1.536211013794,1.1969089508056,164.749269594467,104.61374314679,304.877813639402,24.9121425508933,526.724305555556,71.3698412698413,1086.28695753683,3549.50241794214,3215.64364519065
1967,1984.03591916277,0.796108842583746,10206,0,0,0,27.3362560908,2.11898432913319,27.8790268707275,26.6949381828308,0.487911224365298,1.3577117919921,178.520860882682,116.484330547573,260.880235138181,24.0120205873566,477.893287037037,65.45,1491.73542398892,3379.86709552368,2842.85469508862
