"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PB","tsm_coef_PB","tsm_med_chuv_PB","tsm_med_seco_PB","tsm_amp_chuv_PB","tsm_amp_seco_PB","prec_med_PB","prec_coef_PB","prec_med_chuv_PB","prec_med_seco_PB","prec_amp_chuv_PB","prec_amp_seco_PB","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1977.28086754839,0.121824258377695,16.2063038124548,0,0,0,27.1593645413717,2.99149637966693,27.5254200526646,26.4705805778503,2.142593383789,0.902673721313498,101.951807840495,112.056901478422,195.206215820371,22.4472910378243,361.869387755102,58.4666666666667,2.20268483720094,8.67701999392716,4.27405745909282
1947,1977.35211491075,0.146053512765744,21.6132370164313,0,0,0,27.2796626091003,2.7432170927589,27.5880075182234,26.6771063804627,2.1266536712646,1.0213184356689,75.5915455840456,99.4669110812192,164.160067340067,19.1963583200425,318.75,40.2666666666667,2.29678227602522,9.51920096901517,4.74003419587901
1948,1977.42301514976,0.172069770960413,27.0201702204077,0,0,0,27.2334098815918,2.83849875668941,27.5824533190046,26.5910887718201,2.0329036712646,0.536558151245099,93.5670138884634,109.40460295378,184.698876020625,19.974046799944,373.431462585034,56.6,3.00171170372882,10.8132576705031,5.2383259615427
1949,1977.39910375928,0.199739918575767,25.1936994866248,0,0,0,27.221088886261,2.41982668426081,27.493444442749,26.6844911575317,1.7461929321289,0.717607498168999,130.367039910278,103.622445469561,214.859718535419,21.0279395150869,427.952154195011,56.1,2.80289878840548,11.1157769071965,5.28309887513873
1950,1977.46277944451,0.228922641255935,30.0642881100459,0,0,0,26.9545480410258,3.0299434615921,27.279479435512,26.2713632583618,2.0773639678955,0.846633911132802,109.966138315929,105.816876690303,198.270689540556,20.142081894256,454.925359032502,54.5277777777778,3.1116049713325,11.1999015589305,5.39154555875471
1951,1977.46429209917,0.259469154228751,30.1802545058416,0,0,0,26.9622936248779,2.35525435484361,27.2049892970494,26.602641582489,1.9356899261475,0.977025985717798,86.703233169299,102.934502127697,196.591455467,21.2599310968903,370.731380700428,58.1666666666667,3.28912527766246,11.5245566957702,5.63208502416352
1952,1977.40328161822,0.291223967947714,25.5126070750631,0,0,0,27.2815898259481,3.14485243736541,27.655216217041,26.5406141281128,2.0523986816407,0.8483982086181,88.5277471492932,105.31695217122,235.890130488824,21.8205593052188,460.981380700428,60.2222222222222,2.89045546062046,10.4428787340917,5.03990035487816
1953,1977.40366136369,0.324025685852127,25.541598674012,0,0,0,27.1337475776672,2.30184694314834,27.4219502040318,26.5402927398682,1.4847793579102,0.479976654052798,103.929922514274,116.2551123141,234.367706606984,18.9385524981788,387.538691525993,59.5981481481481,2.94121124387269,12.0793316169958,5.55519791860728
1954,1977.41049507575,0.357707830125175,26.0634474550928,0,0,0,27.0398999849955,3.02564676173559,27.3941260746547,26.3684248924255,2.1432971954346,0.878026962280298,92.5030766704015,109.856089285747,197.543466216019,22.5996359248446,409.286678704404,58.8333333333333,2.94639913612142,10.3920261731865,5.08157396959652
1955,1980.05147611786,0.392099691203085,250.661364512495,0,0,0,27.1208782196045,2.62305345710631,27.3863729749407,26.6630978584289,2.0420494079589,1.1404266357421,92.2438997032882,118.722230265252,192.256542720383,21.6812317393982,361.733575487808,55.7092592592593,24.224718918926,64.9061514595432,34.4856381098982
1956,1977.10253342617,0.427027196681726,2.7864308002237,0,0,0,27.1792410214742,2.4681050565743,27.5272587367467,26.5848979949951,1.6401519775391,0.901435852050799,73.539806433376,112.52171453174,183.212324479385,21.1764417781507,425.918036775753,60.3740740740741,1.01652359627941,7.11792953186565,3.38637634621025
1957,1977.1680218915,0.462313795184892,7.69585649585595,0,0,0,27.0655120213826,2.54698269186944,27.3302413395473,26.5734300613403,1.8592338562011,1.1501502990722,89.0338520236512,108.365133251816,187.895618667677,20.2645170501593,345.429143065548,53.4777777777778,1.47140083630032,7.67807788658675,3.73897722557939
1958,1978.10940500327,0.497781350696491,80.8064932064874,0,0,0,27.0570669174194,3.09119030505336,27.4466424669538,26.2818131446839,1.9714908599853,1.1832809448243,95.5690715638394,109.59868971258,194.852428916067,25.4228978849412,395.945683872543,53.3666666666667,7.15266360679951,21.4567329776715,10.8870940998692
1959,1978.35630880339,0.533251042822157,100.842257531906,0,0,0,27.15966796875,2.89537934804802,27.4988768441336,26.49143409729,2.1158981323242,0.8259792327881,77.6809108189262,116.228909239955,199.597448057224,21.1001779017936,332.098899301376,51.2608024691358,8.80550018902286,25.5439881434669,12.9240224165684
1960,1978.27508041679,0.568544268430181,94.2078984837538,0,0,0,27.1768463452657,2.70938910663981,27.4965013776507,26.5831837654114,2.0089588165283,0.989709854125898,120.369735474381,113.438665860077,233.820382846911,22.1843106213911,386.600627743095,59.0981481481481,8.7329474290727,24.3505829308667,12.2438335537193
1961,1981.73851669558,0.603483540130634,431.003605774347,0,0,0,27.1678705215454,3.10438528020171,27.4706742422921,26.5459327697754,2.2593421936035,1.1763343811035,148.534782608696,87.5042054796324,196.276470588235,13.2666666666667,438.8,59.1666666666667,45.7840818302883,112.006050755331,62.078581083636
1962,1977.51402724652,0.637893377081368,34,0,0,0,27.3078632354736,3.13947070965465,27.6411348070417,26.6689510345459,2.4164352416993,0.7412433624268,67.1090909090909,147.535844018603,211.3,13.0375,138.5,58.0925925925926,3.88327903223023,11.7330234428835,5.68800919003309
