"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PA","tsm_coef_PA","tsm_med_chuv_PA","tsm_med_seco_PA","tsm_amp_chuv_PA","tsm_amp_seco_PA","prec_med_PA","prec_coef_PA","prec_med_chuv_PA","prec_med_seco_PA","prec_amp_chuv_PA","prec_amp_seco_PA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1975,1979.44038404574,0.966003780192221,2089.57224418874,0,0,0,27.423732099079,1.66254232180409,27.6135420507314,27.1579981667655,1.4619674682617,1.5702285766602,221.864666666667,83.1745042539239,303.726213592233,42.4659574468085,829.4,85.7,23.9879936278111,249.296553823558,292.990703099581
1976,1958.65426406837,0.977638548935235,536,0,0,0,27.1694674946013,2.02752479529897,27.4840959821429,26.7289876120431,1.6664505004883,1.5331916809082,167.336666666667,88.2642686415651,260.33595505618,31.6491803278689,671.9,86,2391.90343651244,116.857445359029,111.84646073156
1977,1979.77299902857,0.986885992884045,2120,0,0,0,27.4481430507842,1.51555396685493,27.5708039731395,27.2764177594866,1.5015735626221,1.122034072876,200.638255033557,81.9415569354824,284.727272727273,34.142,719.2,85.2,24.2449384458506,218.558321089181,276.564448573014
1978,1984.43378013231,0.993701781443465,2578,0,0,0,27.4195352735974,1.84668723984508,27.7522288341912,26.953764288766,1.3707027435302,0.666683197021499,178.044525547445,77.59657768411,243.441935483871,39.8181818181818,551.7,87.9,2.40281033073374,292.877475030727,292.635115460249
1979,1984.66952621555,0.998053766634097,2603,0,0,0,27.6167799631755,1.32654181246654,27.7462522545639,27.4355187552316,1.4450092315674,1.1768741607666,168.58,73.4268745702982,221.209433962264,41.7909090909091,458.7,88.4,11.8513546041208,270.775375953917,271.800524154452
1980,1993.02735777198,0.999922121802617,3686,0,0,0,27.582120009831,1.41327078316679,27.8036850909798,27.2719288962228,1.2636852264404,0.9956150054932,166.335897435897,104.450073383503,262.245555555556,35.55,1063.1,85.9,379.76323026667,351.720609557262,639.932685272575
1981,1996.55822125941,0.999299418632729,4401,111,0,0,27.3146985598973,1.65863290353712,27.5139880666927,27.0356932503837,1.3807525634766,1.1330738067627,127.042657342657,83.6628738779546,199.19,35.4269841269841,333.6,84.8,1168.06498403,452.256246097769,374.831467811201
1982,1989.55844711173,0.996190642244561,3178,468,0,0,27.2442086310614,1.97101480528014,27.5408731966602,26.8288782392229,1.8927860260009,1.0704669952393,164.721794871795,100.67105067781,274.376470588235,33.4450704225352,628.4,89.8,592.665138002165,337.396844184998,383.907854982755
1983,1989.57366840811,0.990613144479053,3180,213,12,0,27.6402831758772,1.6158613015567,27.9183661791743,27.2509669712612,1.3550567626953,1.1489162445068,127.792948717949,85.4904495550892,204.201176470588,36.3183098591549,390.4,88.5,175.982497437091,307.355574451511,303.718328089594
1984,1995.72085704954,0.982596535771026,4199,204,2,0,27.5134665171305,1.39854466844888,27.7293374976333,27.2112471444266,0.971006393432603,1.1635456085205,220.775657894737,84.8022395704958,285.04,52.4642857142857,1071.5,87.7,478.244672148973,533.023577625884,753.019382174382
1985,1995.12496302216,0.972182516318668,4071,123,0,0,27.3498088518778,1.27882984428992,27.5825339336785,27.023993737357,0.658241271972599,0.929861068725501,251.222077922078,84.2538529580687,326.818421052632,35.7725,951.7,85.6000891632373,122.831117509621,382.821731510791,660.353083671106
1986,1993.76993888445,0.959424647556539,3813,755,0,4,27.385438260578,1.35414383606005,27.571862006674,27.1244450160435,1.1959896087647,0.9956455230713,205.33961038961,89.5898636249749,273.098165137615,41.2133333333333,1007.7,87.7,535.080533764858,410.892765860059,639.325880682447
1987,1996.81535005352,0.944388065232377,4470,959,0,0,27.7876657531375,1.22206768275442,27.912520739497,27.6128687722342,1.0783672332763,1.3312854766846,155.414743589744,89.7019291301223,246.903448275862,40.0594202898551,522.8,86.7,1028.56517614892,415.523810870572,483.07134596052
1988,1997.11187074554,0.927149135673547,4555,738,0,0,27.8561356408255,2.12229577753259,28.2498778518365,27.3048965454102,1.3194255828857,1.2304706573486,229.068421052632,76.068693557416,294.198230088496,40.3589743589744,726.3,87.3105435845654,1662.54094705963,470.770227727472,610.052120229336
1989,1994.18505488928,0.907795057105996,3888,507,0,0,27.5934687114897,1.11744127497352,27.7141984044289,27.4244471413749,0.957086563110302,1.0708389282227,218.743835616438,65.7899788067438,267.284210526316,45.81875,603.9,87.0203941853376,492.690068253451,414.122363756084,460.634621495532
1990,1998.89321074389,0.886423408154489,5477,5477,0,0,27.4604398863656,1.60047652099138,27.737679656671,27.0723042079381,1.3399639129638,0.8051872253418,175.010135135135,72.5223749961141,232.698058252427,42.9688888888889,457.1,84.9,3394.48113149927,653.455414424721,524.254266970462
1991,1998.6608424178,0.863141645908404,6062,6062,0,0,27.3429832231431,2.5345948241811,27.7813410467031,26.729282270159,1.7479114532471,1.5981540679932,194.775,92.2369318659512,299.151724137931,35.4631578947368,808.3,89,5968.09874622604,653.549786525312,856.562037188241
1992,1998.91434158671,0.838066556178734,5526,5526,0,0,26.9998334930057,1.92178368017177,27.2768205136669,26.6120516640799,1.656566619873,1.0237159729004,137.507246376812,105.097663495551,245.028358208955,36.043661971831,633.2,89.2,4899.07969018257,623.225000545627,657.620702093867
1993,1994.478468342,0.811323658800943,7339,7339,0,0,27.333609808059,1.34779813860056,27.4012749341069,27.2388786315918,1.3286342620849,1.1797771453858,183.376923076923,72.6088452956979,238.072815533981,42.535,650.8,88.8,7886.00305944508,769.366466787691,773.370076305229
1994,1998.90703264686,0.783046571050679,5775,5775,0,0,27.5306973911467,1.80620625838032,27.8568850147481,27.0740347181048,1.3682899475097,1.6001777648925,215.016083916084,78.5588999007866,275.735849056604,41.0621621621622,646.4,87.8,5148.31336784396,640.939738575138,690.043408962033
1995,1998.36341550519,0.753376332437337,5033,5033,0,0,27.3732312974476,1.73107246602768,27.6493451254708,26.986671938215,1.2728252410889,1.4886054992676,201.034666666667,88.4768877340963,289.182828282828,29.9235294117647,1087.1,86,3772.67419750963,443.278753210117,939.859527627063
1996,1991.26231899345,0.722460694320087,3413,3413,409.56,341.3,27.557385353815,1.85445461639103,27.7981592295121,27.220301927839,2.0513038635254,1.0034523010254,201.690476190476,85.7121194808792,287.816494845361,34.606,603.4,86.4,2952.92095632985,350.390545348125,403.535534509835
1997,1991.96844480498,0.690453377954393,3518,3518,422.16,351.8,27.2732526234218,1.97194832443411,27.3918553177191,27.1072088514055,1.4816989898682,2.008810043335,158.506993006993,98.2182621357609,263.041558441558,36.55,698.1,89.7,2247.26886336536,352.635283344596,453.703773286457
1998,1998.22007987678,0.657513304720526,4961,4961,595.32,496.1,28.1276787122091,1.88977362983647,28.389316247434,27.7613861628941,1.6002197265625,1.3205299377441,168.84609929078,84.3877784557431,245.090909090909,42.2509433962264,678.4,89.2,5855.35429963436,482.044548745622,630.844633931854
1999,1995.31188933184,0.623803802411014,4110,4110,493.2,411,27.8172063600449,1.62670752602291,28.0971212581712,27.4253255026681,0.8994541168213,1.2982368469238,200.173202614379,78.5412922140044,268.833962264151,45.3212765957447,611.8,88.6,2414.29837324846,424.904076037126,490.835214448157
