"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_BA","tsm_coef_BA","tsm_med_chuv_BA","tsm_med_seco_BA","tsm_amp_chuv_BA","tsm_amp_seco_BA","prec_med_BA","prec_coef_BA","prec_med_chuv_BA","prec_med_seco_BA","prec_amp_chuv_BA","prec_amp_seco_BA","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1958.5656078931,0.121824258377695,350.524284578995,0,0,0,26.6826232473056,4.0608741626296,26.7062066793442,25.9862994551659,2.4362335205078,2.415018081665,87.2246824048392,94.9165590703186,200.072139111927,47.9654701532201,329.106818181818,114.631818181818,97.1063392741598,0.254951189955427,2589.59471851293
1947,1958.90546227962,0.146053512765744,378.386922044276,0,0,0,26.4033318161964,4.19209446982835,26.5445300340652,25.7149426341057,3.4513607025146,2.5431251525879,61.6320332669123,75.2803633057439,120.688278657617,31.9404473304473,222.733333333333,77.8,105.19684627111,0.178103328423496,2110.79567501682
1948,1959.24412741133,0.172069770960413,406.249559509558,0,0,0,26.2520769437154,4.14174497980508,26.1818970441818,25.7766237258911,3.5009593963623,2.5152931213379,83.8790875738167,86.1231924841844,176.442495917683,40.4935068899418,283.712247474747,110.477272727273,101.76871880503,0.226999195474692,1384.05467865786
1949,1960.22449219424,0.199739918575767,487.464313509305,0,0,0,26.1945263942083,4.76248126573551,26.4525356888771,25.453518986702,3.9865016937256,3.1502132415771,82.9252158555471,94.3187356711012,193.958315647175,48.397745864392,287.592066498317,107.184848484848,99.7419886168476,0.425298537092213,1189.28030141016
1950,1959.09684207298,0.228922641255935,394.120083262842,0,0,0,26.2885188659032,4.33905166469013,26.1808820962906,25.6490068435669,3.0234642028809,2.4305038452149,79.2970234870439,97.1134189706034,201.867069220031,42.0187936667234,296.517617143659,115.174747474747,99.3885159893926,0.392819428928326,526.636157277488
1951,1958.729787037,0.259469154228751,363.972182156875,0,0,0,25.8929677208265,4.99091359774708,25.866951584816,25.4648035168648,4.0338115692139,3.53617477417,76.0878919059175,91.3282161684633,204.245741556814,44.8249573348158,254.139447133371,104.796885521886,91.4179548459404,0.456603781678473,1256.35740082531
1952,1959.80663331697,0.291223967947714,452.745885121967,0,0,0,26.6100433468819,3.94968443253677,26.72479814291,26.0503801703453,3.2203311920166,2.562931060791,75.3538399085864,89.1286142683209,186.383467381335,45.4902232004444,242.422941217733,108.042003367003,102.55965965075,0.321632441580301,1311.45903493722
1953,1959.86704594321,0.324025685852127,457.755886180393,0,0,0,26.463049252828,3.9520610944393,26.5318586826325,25.9743230938911,2.937198638916,2.5439128875732,77.7634437193021,93.1539257327051,191.868153802374,49.0565770874201,258.811427936775,107.102791806958,99.1784167877552,0.364818562230551,791.401100247984
1954,1960.20971356927,0.357707830125175,486.233786933551,0,0,0,26.280567685763,4.40561574106018,26.5226368308067,25.4807214140892,2.975154876709,2.5950355529785,82.1594838377935,95.7268338336178,183.035252688686,41.9923961887901,284.360520424149,109.279589880284,105.418723076768,0.418238300030583,197.761599237077
1955,1959.68781580239,0.392099691203085,442.901672515937,0,0,0,26.0521559913953,3.74711696675084,26.175204873085,25.6141287088394,3.3029479980469,2.4062328338623,78.3452649576033,93.8024264258221,188.172080412532,50.5561835996266,315.110383834487,104.657338040903,93.6021152738712,0.257729940470152,142.283160922169
1956,1955.71110435575,0.427027196681726,120.233754891783,0,0,0,26.1099665164948,4.17638497800536,26.3135378956795,25.4407584667206,3.0732364654541,3.0966854095459,74.8563602879435,84.8496686194662,182.864845456316,44.8411312618414,355.843085464989,107.564606715301,78.3891701034993,0.17365180652418,120.926751167358
1957,1956.34030519973,0.462313795184892,170.436620969405,0,0,0,26.1788773934046,3.72136570964662,26.1015136837959,25.8605629205704,3.4366073608398,2.4363842010498,95.7985153993492,92.8180701043026,213.900734297927,44.0904437245076,375.370185263125,108.056154653531,84.5244095842885,0.185699794669048,108.5378862701
1958,1959.0034134693,0.497781350696491,386.435506950434,0,0,0,26.3930260340373,3.89980684806748,26.5483381748199,25.8311109542847,3.1943874359131,2.5478744506836,74.1094859384261,89.7388168876429,193.26064171725,40.3112398135266,317.572469859994,102.526025775589,100.430453172036,0.202589718089715,146.344209204706
