"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_SC","tsm_coef_SC","tsm_med_chuv_SC","tsm_med_seco_SC","tsm_amp_chuv_SC","tsm_amp_seco_SC","prec_med_SC","prec_coef_SC","prec_med_chuv_SC","prec_med_seco_SC","prec_amp_chuv_SC","prec_amp_seco_SC","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1971,1984.08571067223,0.896891586574461,10341,0,0,0,22.4370423952738,12.3981059739389,26.0814116795858,20.9063165187836,1.6336231231689,6.4250774383545,141.545762711864,62.2908202660278,205.773333333333,75.1034482758621,348.1,91.2,1683.82996504212,552.989873765363,7060.03765165965
1972,1970.34063982838,0.917396951420413,15329,0,0,0,22.749542872111,10.4117834704718,25.6820656458537,21.4888954162598,0.960676193237301,5.6928253173828,148.291525423729,51.224884274548,182.178048780488,71.1055555555556,255.6,103.1,1789.45576252559,721.324798412241,9425.21254837322
1973,1979.660443866,0.935809244104226,12556,0,0,0,22.6490594546,11.8127084228876,26.0611639022827,21.2426760196686,0.6955471038819,6.427396774292,139.52641509434,45.9390684057141,178.696666666667,88.4347826086957,229.9,62.9,1415.08443464783,674.721695046591,6207.50595022509
1974,1985.27736222854,0.952037999977709,9253,0,0,0,22.585634469986,11.2573615507274,25.9350226720174,21.1894069910049,0.719642639160199,5.504165649414,107.267796610169,60.0340906436156,168.890476190476,73.2131578947368,251.4,84.8,1203.76102465483,477.2406336871,4340.96481664113
1975,1980.38014440915,0.966003780192221,12271,0,0,0,22.3959044615428,10.2875027052374,25.2275257110596,21.1127299070358,1.7114372253418,4.8848628997803,136.119607843137,45.9479293734103,177.193333333333,77.4428571428572,187.6,79.8,1190.92074591124,543.49030807968,7624.46084210422
1976,1982.91453922695,0.977638548935235,11076,0,0,0,22.4463117917379,11.4182186970279,25.6910184224447,20.9691781997681,0.789142608642599,5.2088451385498,143.935,47.7715103009206,181.658974358974,73.8761904761905,232.6,86.9,1289.41445486323,492.147191047092,7368.46303021446
1977,1981.74595957058,0.986885992884045,11673,0,0,0,23.3270461559296,9.41571884892813,26.2158540089925,22.094080209732,1.4869079589844,4.644760131836,148.017647058824,60.4303693530171,206.286666666667,64.7761904761905,270.5,85,1497.56979146344,508.13152557716,8351.9312295082
1978,1983.64334262691,0.993701781443465,10641,364,5460,0,22.9213186105092,9.90020862443869,26.0319719314575,21.5948104858398,0.690473556518601,4.4330101013183,114.173333333333,69.7737523099672,166.753125,54.0821428571429,372,106.6,1778.17008794024,479.350047506125,4553.87917819837
1979,1954.14517003412,0.998053766634097,18566,1531,6465,0,22.2752608458201,10.7994222966337,25.1756935119629,20.9073131084442,1.0754432678223,4.8810939788819,83.5915254237288,78.280552333833,165.894444444444,47.4585365853659,185.8,103.9,1598.11533684427,614.281771810609,5200.66054426278
1980,1982.33597779714,0.999922121802617,11384,2771,5155,306,22.9332959651947,11.0206300855322,26.010622660319,21.6256775856018,2.0894050598144,6.2099647521972,103.850877192982,68.757991568654,177.995238095238,60.6,213,94.6,1227.40979085478,484.049122359312,6123.653191843
1981,1985.83396823347,0.999299418632729,7485,1302,3816,294,22.4087308247884,10.665100280007,25.4859663645426,21.1085815429688,0.978958129882901,4.9555282592773,91.3851063829787,67.2245768638982,155.823529411765,54.87,151.5,105.5,725.887709401625,309.67677009304,3488.10885276424
1982,1985.49468658059,0.996190642244561,8949,1720,6034,419,22.575094461441,9.364100580951,25.1428152720133,21.443422794342,1.4822769165039,5.0745639801025,111.11,70.1157691410078,186.9375,60.5583333333333,277.4,94.1,1249.72401734828,398.902232912288,4867.50108216966
1983,1985.19483403846,0.990613144479053,9353,1527,4954,461,22.5753828684489,12.739441089154,26.0948816935222,21.0164557695389,0.879941940307599,6.1841716766358,222.276666666667,59.2181852604174,249.634,85.49,617.2,45.3,2398.25015891389,656.7789312889,4585.90668706268
1984,1966.18591450201,0.982596535771026,16278,4900,4196,767,22.8001053333283,11.5666813515737,26.5086123148601,21.3386577367783,1.2717742919922,5.1757354736328,135.90553527981,56.4801604151154,183.051835823222,66.8264965622613,245.224766876806,85.9112565010546,1793.41893952446,724.822861414747,7434.42433196979
1985,1985.82020946236,0.972182516318668,8174,1730,4624,427,22.7030699253082,9.80698089218217,25.3553937276204,21.5951585769653,1.8512153625488,5.4630222320557,99.2791666666667,61.7608763391963,171.042857142857,69.7294117647059,162.5,87,811.583234730548,386.376195711149,4380.61814693692
