"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PR","tsm_coef_PR","tsm_med_chuv_PR","tsm_med_seco_PR","tsm_amp_chuv_PR","tsm_amp_seco_PR","prec_med_PR","prec_coef_PR","prec_med_chuv_PR","prec_med_seco_PR","prec_amp_chuv_PR","prec_amp_seco_PR","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1965.85281571004,0.121824258377695,277.943490711422,0,0,0,22.7063091595968,9.34836975323705,24.7445492744446,21.2464459737142,2.1986122131347,4.0673198699952,136.593002305383,65.5534812957351,196.252190224759,63.4762120850173,298.152941176471,89.8372549019608,10.77165238214,14.2157345094198,924.574017470113
1947,1965.47577014214,0.146053512765744,264.79478117995,0,0,0,22.2728430430094,12.8044647948458,25.5733842849731,20.8296171824137,2.0596523284912,5.9264984130859,89.544212962963,58.0018156717575,153.656837606838,39.6657289776165,202.216666666667,69.9833333333333,6.59628449026792,3.88750394571537,913.128997404149
1948,1965.0960693086,0.172069770960413,251.646071648478,0,0,0,22.1702081362406,10.9360918450695,24.853985786438,20.7118768692017,1.9681091308594,5.2453575134277,124.874067414443,68.317955687858,173.550606011635,54.4389621403414,257.837091503268,85.7519607843137,6.22627685612022,7.93469868886853,868.602315065451
1949,1966.38194143018,0.199739918575767,296.553971894428,0,0,0,22.0262192090352,10.0767599858032,24.5537991523743,20.7079795201619,1.2712478637695,4.9183597564698,136.017921405157,64.8750390216414,182.955835053001,58.6783910216845,242.981808278867,83.6173202614379,4.01458196138233,11.6613028092556,765.924366305126
1950,1967.45786448581,0.228922641255935,334.988661294115,0,0,0,22.8119006156921,9.91517582680519,25.2783322334289,21.5659214655558,1.2475719451904,5.291124343872,130.739970033936,61.8087798173498,204.205859322087,55.6575311515577,245.6392610748,79.0044117647059,9.06131482030745,23.1031589301676,669.484396416345
1951,1974.2012013576,0.259469154228751,597.558276245662,0,0,0,22.1344725290934,11.4021443651825,24.9959492683411,20.6993198394775,3.1185607910157,3.8117809295654,123.271526274916,62.8079856061741,211.585090735194,65.787080309731,298.726360142823,88.6066176470588,3.48333000540325,11.2685589257934,1254.91467969889
1952,1976.41773403543,0.291223967947714,694.251863261717,0,0,0,21.9202451705933,10.8592173572685,24.439959526062,20.3511212666829,2.243486404419,4.1326103210449,130.389092171522,63.2987974565146,190.241310294015,62.6268322514262,398.84351826636,79.5736519607843,3.10860368642352,14.0430586915888,1195.86401108347
1953,1977.21519390134,0.324025685852127,730.663674271947,0,0,0,22.604245185852,10.7133254229136,25.3858098983765,21.1629492441813,1.415132522583,5.0180244445801,133.58853599947,63.9415281841731,186.836910458486,64.2017193460736,238.647712418301,90.7935321350762,6.00062427435653,25.7439088664821,897.276405308672
1954,1982.19859394975,0.357707830125175,983.92804863199,0,0,0,22.6279966036479,10.9200156241835,25.4496250152588,21.1329164505005,1.9938735961914,4.7066192626954,142.857285606443,63.1342173335023,195.707148889284,60.2363689558969,277.758569353667,86.2878676470588,6.2540813870413,29.0431102847147,1130.19096291903
1955,1978.62431830553,0.392099691203085,797.418661124035,0,0,0,22.2504863739014,13.2338377437715,25.4608454704284,20.3883845011393,2.1060409545899,5.7435417175292,124.886295802231,66.0630648140109,192.653485440893,60.8743105085111,247.789153655289,87.9901960784314,5.50444274081343,11.9612115629709,1121.73013555888
1956,1970.03657526332,0.427027196681726,430.623978935975,0,0,0,22.1105596224467,13.4064780559312,25.6693153381348,20.3168891270955,1.530086517334,6.416633605957,133.226114050644,59.3719711893487,196.01541035204,61.5834536541809,361.93869674413,92.2268654684096,4.12345810562128,11.0695890814832,763.084314420859
1957,1969.03799892211,0.462313795184892,392.968518894489,0,0,0,22.2525822321574,10.6984316499779,24.8309674263,20.7547286351522,1.7772903442383,4.9068851470947,123.341974120288,66.3975105691284,175.860793266989,63.0708878988274,264.984717431211,89.031336238199,4.46778742468604,33.2420562377517,702.520192160301
1958,1968.01764560209,0.497781350696491,355.313058853002,0,0,0,23.2687166531881,10.040339127718,25.7797880172729,21.6920725504557,2.3525867462159,4.1896381378173,139.463291637847,58.2604224067248,208.528856994112,55.918709966778,220.907513566126,87.6891952614379,16.8604624853147,85.3523333612617,631.752815017321
1959,1970.54021834594,0.533251042822157,449.934471264943,0,0,0,22.9140944480896,11.4086976262131,25.9085502624512,21.311624844869,0.834682464599599,5.7858486175538,131.852299548795,71.2190232671529,191.481760582443,64.1497013199462,319.990695310189,89.4050040849673,9.46886378107498,49.4476338307829,519.231084903982
1960,1970.81478090076,0.568544268430181,460.555242045875,0,0,0,22.6553077697754,10.8733375572406,25.3888921737671,21.0354572931926,0.9418220520019,5.1644725799561,136.122732743135,64.6549945154534,186.651991904143,64.4932967241226,320.815553134834,93.2795433914306,7.01853442217721,57.3241374366937,546.344064510787
