"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PE","tsm_coef_PE","tsm_med_chuv_PE","tsm_med_seco_PE","tsm_amp_chuv_PE","tsm_amp_seco_PE","prec_med_PE","prec_coef_PE","prec_med_chuv_PE","prec_med_seco_PE","prec_amp_chuv_PE","prec_amp_seco_PE","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1961.17345419553,0.121824258377695,35.8715731160422,0,0,0,27.1483017603556,2.86538673581187,27.8023505210877,26.5161547660827,0.858694076538001,0.980497360229503,104.042504379354,113.250952133458,196.425136538506,30.2053082184615,417.607843137255,72.9039215686275,1.90707766310823,53.8300063744235,1.15429718517378
1947,1961.99964884233,0.146053512765744,40.3269595858692,0,0,0,27.20774269104,2.81032023045496,27.8399214744568,26.6385445594787,1.1221637725831,1.1661224365234,73.8347420634921,100.436414310218,144.983969000348,23.8002857142857,337.5,47.0166666666667,2.01210070030137,46.5314943394906,18.0907415949942
1948,1962.81765729956,0.172069770960413,44.7823460556961,0,0,0,27.1935677528381,2.79866117717173,27.969024181366,26.6138596534729,1.1598796844482,0.6770420074463,96.5515444531464,107.228715267835,195.787132407822,25.6676368184955,452.703921568627,66.1728758169935,2.58379999343529,47.5254667479052,0.000707575070785128
1949,1962.94277816964,0.199739918575767,45.4677901279771,0,0,0,27.1246129671733,2.53918672511737,27.7375445365906,26.6484446525574,1.1036357879638,0.896274566650401,113.851630615763,103.786611248022,168.252297088288,26.4130157974054,382.033986928105,69.7489106753813,2.71080060056958,50.2271866150798,3.73422555458835
1950,1964.01081940611,0.228922641255935,51.3626091495942,0,0,0,26.9031098683675,2.82224905093693,27.472587108612,26.3584003448486,1.3530254364014,0.948930740356499,92.7106508458988,109.289056355116,186.566173796669,31.5875252617241,401.940305010893,68.3542846768337,3.49777596289513,61.664818561171,15.8968004128679
1951,1962.04601077696,0.259469154228751,40.5782890790389,0,0,0,26.8705814679464,2.5299335722222,27.4975671768188,26.5749297142029,1.4218311309815,1.135326385498,115.552781642534,111.428160358758,178.910328656018,29.9737786341251,392.908024691358,66.0708726700557,2.74603030443573,52.8586678365857,21.9383036367821
1952,1962.40757886014,0.291223967947714,42.5432287529113,0,0,0,27.2764905293783,2.96216342303203,27.9955821037292,26.63911485672,0.872529983520497,0.970275878906303,110.731629621704,115.672106835947,182.714878581634,30.4147411254987,438.523638344227,72.5385136770758,2.80499254236993,39.5704547487802,2.29942108093064
1953,1962.40757886014,0.324025685852127,42.5432287529113,0,0,0,27.086924235026,2.23942309304337,27.6406116485595,26.5979247093201,0.4409160614013,0.652135848998999,94.6470421712581,111.826549598976,189.10229027255,31.5750584304898,370.46804647785,71.5956780037118,3.50161790764146,50.5757863820052,12.9538345739395
1954,1964.44547377913,0.357707830125175,53.7845115383207,0,0,0,26.9775282541911,3.1128659063387,27.8061084747314,26.3091239929199,0.921241760253903,1.0001735687256,110.04530268088,106.564714567243,204.228371016864,31.4120053247617,423.378007746308,69.5025768915248,4.53451112266418,48.7110144857918,7.9063427247877
1955,1966.79679784145,0.392099691203085,67.1278228120587,0,0,0,26.9752798080444,2.39703697159531,27.5923295021057,26.625328540802,0.788257598877003,1.1867103576661,102.290940264529,111.998514069381,195.432466209851,29.6217274245788,401.747930283224,65.4270697167756,5.8150658055753,59.7960851662578,21.7009073859682
1956,1959.35981899819,0.427027196681726,26.2420698140172,0,0,0,27.1238339742025,2.43374011999074,27.7787737846375,26.5958013534546,0.537971496581999,1.168836593628,85.4465760017764,104.831068676619,182.216075671798,30.1838829675936,348.971998305495,72.7355513192932,2.5103161060842,33.4927590522676,0.710773720847521
1957,1961.82160815865,0.462313795184892,39.3631047210258,0,0,0,26.9913530349731,2.40654178020968,27.5451488494873,26.5957016944885,0.871828079223601,1.1704330444336,101.748329005626,118.381639202557,192.975150994595,30.5945290880613,395.249386750585,73.3573534454934,3.65024907688339,45.3689080239581,9.44208714611758
1958,1967.6238075039,0.497781350696491,71.9227098606398,0,0,0,27.0344799359639,2.88317932467249,27.7689123153686,26.3230910301208,0.6195259094238,1.1653518676758,99.2889019263471,107.898911511673,197.067334968486,32.2083156561204,403.49591503268,71.2850309482504,6.78468209578414,51.8211555588581,14.2853569345634
1959,1972.44874647104,0.533251042822157,101.080565209548,0,0,0,27.1112802823385,2.84292167727564,27.8016829490662,26.5480046272278,1.1172351837158,0.919042587280302,112.467960383711,120.191605062145,190.871775255813,31.467264192888,384.517976882111,65.2284120403991,9.56738781126827,65.4752620220826,34.8732904989643
1960,1973.40981170473,0.568544268430181,107.155118407237,0,0,0,27.0750991503398,2.66079980970856,27.7856965065003,26.4956703186035,0.762630462646499,0.9478855133057,99.6231755812323,109.283946543404,196.179205939292,33.8500260779848,430.371263011377,71.187554102002,10.0340231233374,60.6636761546805,19.3047927434329
1961,1982.12153062589,0.603483540130634,167.431138722521,0,0,0,27.0334636370341,3.0233020778906,27.7225127220154,26.4993257522583,1.1315479278564,1.1816501617431,128.772727272727,104.081257713906,214.65,25.72,343,67,18.5700423806686,91.339091126767,129.524092950624
1962,1958.74059798621,0.637893377081368,23,0,0,0,27.1765705744426,3.12410612729857,27.9327335357666,26.623526096344,1.1269454956055,0.852472305297802,102.175,126.778341686194,189.016666666667,15.3333333333333,472.1,32.8,2.16925847657045,20.7384326491076,0.310408534374864
