"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_ES","tsm_coef_ES","tsm_med_chuv_ES","tsm_med_seco_ES","tsm_amp_chuv_ES","tsm_amp_seco_ES","prec_med_ES","prec_coef_ES","prec_med_chuv_ES","prec_med_seco_ES","prec_amp_chuv_ES","prec_amp_seco_ES","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1968.06802438052,0.121824258377695,322.32961148843,0,0,0,25.997828218672,5.31966154747287,27.3009777069092,24.9378499984741,2.8085994720459,2.7880916595459,107.523418619086,84.5234699970409,182.652937253576,41.6130220643384,234.278947368421,71.545,16.6887198348508,10.6945674075587,260.927907510763
1947,1967.04237295478,0.146053512765744,281.329727401635,0,0,0,25.4298741022746,5.49353217265602,26.9053146362305,24.539796617296,1.5713615417481,3.2275447845459,81.8284722222222,67.0535817016182,142.486698717949,30.2173076923077,222,47.7166666666667,14.9916976397344,8.51488847665904,317.214301813051
1948,1966.00495997506,0.172069770960413,240.32984331484,0,0,0,25.1789604822795,5.29769982760603,26.4486946105957,24.1030526691013,2.5152378082275,2.8084430694581,77.5158116186425,91.8616379379788,163.291682692308,35.7794387757311,233.609649122807,67.7177777777778,16.0760347494392,9.36880500244226,197.389876945521
1949,1965.84295835103,0.199739918575767,233.968984400868,0,0,0,25.1547218958537,6.2927945745395,26.7178248087565,24.0985254711575,2.4298000335693,3.8556232452392,104.600594381148,88.0994242947169,158.5214882433,39.5475774755083,237.683333333333,70.4800925925926,6.77782063107282,8.98281288536431,247.460103127295
1950,1964.53675396753,0.228922641255935,183.082113089096,0,0,0,25.5122958289252,5.54079697636057,26.9864374796549,24.4887499279446,1.9106349945068,3.0030918121337,102.67994349742,82.539676854516,175.304177350427,39.4257728701986,233.093713450292,68.779475308642,12.6880621015118,7.47898208997948,184.38382509011
1951,1965.98384538293,0.259469154228751,239.500166065191,0,0,0,24.8447018729316,6.61850500769636,26.4136439005534,23.5395972993639,2.5769176483154,3.6973400115967,95.6325876998514,92.2188560258042,177.690692561307,36.6974230948344,260.43216374269,64.1857561728395,4.27059835948899,9.37124998500489,234.613109392707
1952,1967.06498381931,0.291223967947714,282.228544422088,0,0,0,25.5350004302131,4.89175233785591,26.7203875223796,24.6294236712986,2.1137752532959,3.0330486297607,98.9237543139547,80.152269550065,186.333654351568,41.581735419757,194.449707602339,70.300658436214,24.6658952558707,9.51095393016904,257.586767882412
1953,1967.7372291957,0.324025685852127,309.054775494055,0,0,0,25.5777124828763,5.38737699240151,26.8893805185954,24.5254400041368,2.2073917388916,2.9785404205323,101.642956465824,97.2723327600558,175.645808031221,38.9760589054508,266.826730019493,64.703182441701,14.0318303859778,11.3979659297091,228.18819789113
1954,1967.77174455604,0.357707830125175,310.437570910136,0,0,0,25.390280034807,5.49451985018023,26.8150061289469,24.4405295054118,2.3468151092529,3.291275024414,118.886818279867,87.6106037791267,196.62642071055,39.0927574816739,204.941934697856,72.7437917238226,16.7641771426905,10.6827816560003,279.397087809478
1955,1967.58866069543,0.392099691203085,303.108755204907,0,0,0,25.0656878153483,5.31521024544731,26.384885152181,24.1206470065647,2.096996307373,3.0218467712403,103.724834552133,87.4126808863274,196.268940845849,42.8908440410179,265.525999025341,73.4040904587715,15.0746713333707,10.5055128919232,251.145151292262
1956,1961.08106098471,0.427027196681726,51.7187771198444,0,0,0,24.9546003341675,6.02660350531094,26.5102348327637,23.9225131140815,2.1997318267823,3.4548091888428,108.084595565988,86.5210257864834,207.161417623373,41.9392012580865,213.20489359974,74.1836625514403,11.3911215683439,4.09069895489546,104.931223932008
1957,1961.61395876725,0.462313795184892,71.6804103941703,0,0,0,25.1072889963786,4.73198639492778,26.2494447072347,24.2231850094265,2.162504196167,2.6199398040772,101.154245560527,87.2142047761301,178.322503855166,39.0962851689522,238.071755198181,70.6548868312757,23.8059717482116,4.74050907890027,91.0733910317258
1958,1961.56562872059,0.497781350696491,69.8657164601407,0,0,0,25.5042101542155,4.9175751182376,26.647523244222,24.5013510386149,1.9438362121582,2.7420101165772,103.93007773499,84.3321038348245,175.262049753931,42.5232945282062,214.682033111328,74.867837219936,22.893798069102,4.61363411242608,95.3616300144757
1959,1962.12003314109,0.533251042822157,90.7346967014814,0,0,0,25.8527024057176,5.37412188485328,27.2782243092855,24.9191918902927,1.527364730835,3.3028697967529,98.2360230479823,89.1407373849107,176.228508172272,40.0153697455914,215.347782651072,69.3283766765737,16.0412683275909,5.36107392433005,121.978013142072
