"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_RS","tsm_coef_RS","tsm_med_chuv_RS","tsm_med_seco_RS","tsm_amp_chuv_RS","tsm_amp_seco_RS","prec_med_RS","prec_coef_RS","prec_med_chuv_RS","prec_med_seco_RS","prec_amp_chuv_RS","prec_amp_seco_RS","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1961,1977.77628946326,0.603483540130634,2088.94999769245,0,0,0,21.2463450749715,11.9865106988054,18.8134696960449,23.2996054077148,5.5947952270508,6.0068454742431,133.278888888889,57.6462745927646,183.464150943396,61.3918918918919,290.4,107.6,2307.57593705478,199.708299571926,142.709546175361
1962,1979.46879664273,0.637893377081368,3120,0,0,0,20.5705351511637,13.1431096630081,17.8246283721924,22.9147696685791,4.7350463867188,5.5226306915283,69.1626373626374,70.2610864924811,148.79375,52.1746666666667,185.7,105.4,3195.19482339508,265.077600977399,197.958505316472
1963,1979.1948986446,0.671601183664412,2942,0,0,0,20.5746272246043,12.8833321737096,18.0800231552124,22.982039642334,5.2566576004028,5.8353729248047,127.488764044944,66.2465865317181,192.760465116279,66.4739130434783,291.8,100.9,3183.24142281641,266.098513995182,187.16743010333
1964,1974.98595014258,0.704438111650862,650,0,0,0,20.3444350719452,13.3044314838941,17.7914646530151,22.8150620269775,5.4261093139649,5.3479747772216,86.8912087912088,58.9530166643645,151.696296296296,59.5515625,133.5,104.8,606.960499431918,50.6942956728247,68.5100602998051
1965,1977.23133723613,0.736239901570285,1786.56893453875,0,0,0,20.5537979920705,12.6168938386045,18.0234144973755,22.5372787475586,4.7509984970093,6.0422096252441,118.713186813187,73.2687212205621,215.060606060606,63.8948275862069,250.6,104.3,1976.35090552754,167.794668510775,123.314477221176
1966,1975.73894643888,0.766847699119495,1014,0,0,0,20.823802057902,13.3774880854946,18.1590631866455,23.297940826416,5.5916194915772,5.9266548156739,145.167391304348,60.4490948164623,204.748148148148,60.5,244,107.8,1077.36962816722,89.2085579233448,86.444442795277
1967,1975.81168353317,0.796108842583746,1050,0,0,0,20.7697029908498,12.1432086616587,18.2884718704224,22.8797730255127,5.841700553894,5.0417060852051,107.767948717949,75.0642640710359,176.653125,59.8478260869565,322.6,92.6,943.872853165451,83.5333873942085,88.0266545614509
1968,1982.17103615721,0.823877617402935,5267,0,0,0,20.3151480197907,13.3230401667981,17.759687538147,22.5574779510498,4.4150581359863,6.8788509368897,94.8318181818182,56.4548173704098,154.167741935484,62.5614035087719,179.4,100,6819.75071440743,561.366660127282,348.58112346378
1969,1981.93468102463,0.850015974192204,5037,0,0,0,20.625316286087,13.6126969425955,17.9218184280396,23.250252532959,5.1072111129761,5.9195976257325,97.31,69.2293300039341,175.991666666667,63.5892857142857,250.7,94.4,5593.47444661111,457.804956698069,336.009381584719
1970,1981.791101412,0.874394206722028,4903,0,0,0,20.7326539675395,12.2252323243886,18.3797523498535,23.1437098693848,4.9353494644166,5.8099060058594,111.23152173913,60.4488515818081,169.704545454545,57.63125,179,103.6,5339.27046607346,450.918513503907,327.13475919776
1971,1982.80091273609,0.896891586574461,5953.76116779291,0,0,0,20.4916635831197,13.4692169800636,17.8607769012451,22.7966024017334,6.1466808319092,6.8974266052246,110.574074074074,67.4964423286027,177.409090909091,64.625,271.7,101.271784381281,7745.32834563069,635.608219819326,413.224432182871
1972,1984.144367291,0.917396951420413,8500,0,0,0,20.8955412705739,12.8098442438094,18.2183360671997,23.312889251709,5.429503440857,4.9579448699951,157.832926829268,54.7968360238867,204.537735849057,72.4758620689655,373.4,85.3,7951.61527190054,660.488607020155,718.661498998293
1973,1974.97945185053,0.935809244104226,646.924468281395,0,0,0,20.8237205823263,13.6479001519129,18.1578079986572,23.4945652770996,6.0241537094117,5.5146045684815,127.670731707317,59.336698458032,185.416279069767,64.0025641025641,259.3,101,623.801220213725,50.9377612774148,69.0752094336596
1974,1980.41003812783,0.952037999977709,3774.33798747602,0,0,0,20.7103468259176,13.0829417988983,18.0954126739502,23.2965281677246,4.9011764526367,5.2800273895264,103.620987654321,60.3596264366082,165.009090909091,61.4166666666667,153,108.2,3708.04858392931,307.825985167056,242.105079134599
1975,1977.71938463932,0.966003780192221,2056.79391107399,0,0,0,20.6614383220673,11.6931936151746,18.269743309021,22.7281085205078,4.9315309524537,5.1456832885742,118.204761904762,54.5424378856435,173.931578947368,72.1695652173913,184,85.2,1936.49867375364,170.337629379667,137.841249225271
1976,1977.94826478581,0.977638548935235,2187,0,0,0,20.5231821854909,13.7480647324192,17.7695234298706,22.8572173309326,5.3339366912842,6.0430889129639,125.771084337349,50.4829230861747,163.214893617021,76.8861111111111,306.5,106.3,2434.00656749459,198.330017524118,144.015002798206
1977,1978.29864724623,0.986885992884045,2391,0,0,0,21.4072470823924,12.225851489587,18.8916469955444,23.6379127502441,5.7024450302124,5.9522762298584,130.353086419753,61.9553539997715,193.232432432432,77.4772727272727,345.1,99.5452973968801,2626.33715491828,224.744715198057,160.809817508656
1978,1982.71904502606,0.993701781443465,5857,0,0,0,20.9947759151459,12.7937689739802,18.485506401062,23.2890788269043,5.1753034591675,6.5124492645264,98.1951807228916,51.33484569871,148.64375,66.5411764705882,104.6,102.366666666667,7185.7766954373,597.518868971517,417.612252098488
1979,1983.2950555284,0.998053766634097,12225,0,0,0,20.6089245160421,13.5705593949356,17.8482719421387,23.0636089324951,5.265564918518,5.7641277313232,55.0103448275862,83.8740280016778,150.036363636364,41.2565789473684,62,97.8903100775194,13388.4031762605,1096.44396324194,1332.50685208695
1980,1979.62976882656,0.999922121802617,3227,0,0,0,21.1416933059692,13.3481160442153,18.4314158630371,23.8202366638184,5.6505441665649,5.2220630645752,63.3936842105263,90.0957660712453,168.726666666667,43.64375,144.6,108.4,3123.22297006435,257.597703454209,210.259367790777
1981,1976.80099897201,0.999299418632729,1556,0,0,0,20.7859131336212,12.5412389063829,18.1173263168335,23.204087600708,4.7995824813842,4.3767070770263,62.2736842105263,77.3408933884002,138.672222222222,44.4142857142857,63.7,107.6,1227.05233317259,105.573028359857,112.656666461108
1982,1982.86056158821,0.996190642244561,6026,0,28,0,20.9199209531148,11.8964030749267,18.4945834350586,23.2762326049805,4.8360528945923,4.3194904327393,75.5270833333333,80.0964932081373,176.089473684211,50.712987012987,168.9,105.1,4870.38183727486,415.215405309768,431.908035968323
1983,1976.46969611267,0.990613144479053,1383,0,147,0,20.7529725233714,15.1050764170028,17.5214332199097,23.4647484588623,5.072190284729,5.97536277771,147.981318681319,54.1337686231922,193.405357142857,75.3028571428571,298.7,80.6,1499.72313507104,115.391259538713,103.998287752405
1984,1978.5515400624,0.982596535771026,2542,0,539,0,20.8867340882619,14.2894426778493,18.1283000564575,23.6504420471191,5.6312580108643,6.7331581115723,161.275,53.3716728984584,211.7,74.1772727272727,246.6,100.965426715475,3173.37016006615,254.755365606356,166.050358586472
1985,1982.96215272266,0.972182516318668,12680,0,17,0,20.9018447558085,11.3653023414725,18.5651271820068,22.9115106201172,4.9152126312255,5.5276927947998,115.683333333333,67.1225231398322,236.733333333333,75.3333333333333,53.8,71.8,13316.2532080909,1126.14159317258,1470.81452286826
1986,1984.24464588329,0.959424647556539,9330,0,0,0,21.0854431947072,13.1875066736989,18.3759838485718,23.5642464447021,5.9204330444336,5.7731647491455,106.654497875664,60.0935859332967,183.326140332997,70.1056290017746,243.966666666667,95.8452973968801,10199.1938719876,840.520477643161,851.404175507725
1987,1982.97571298832,0.944388065232377,6170,0,300,0,20.8926335493724,14.1098168492981,17.8945528793335,23.5649838256836,3.6094045639038,6.240795135498,108.771524380529,58.6634545019978,189.025887202901,67.5920515684177,164.672501338498,94.592995342457,7255.13084809728,588.252781597736,445.305548488974
1988,1984.23875622528,0.927149135673547,9179,0,893,0,20.4145076274872,14.1185339958829,17.609492149353,23.0659210968018,4.8903064727783,6.0840396881103,88.6313953488372,99.8709977521934,192.976923076923,43.415,376.6,106.5,10579.5705533085,859.076396580004,784.563472888557
